67.3,719.21,2018081212
63.54,1486.04,2018081311
93.86,1164.07,2018081320
67.3,719.21,2018081212
63.54,1486.04,2018081311
68.04,848.07,2018080811
56.06,882.5,2018080812
26.03,553.78,2018080813
48.75,329.29,2018080814
44.05,728.51,2018080815
31.96,579.09,2018080816
43.91,322.2,2018080817
25.45,556.72,2018080818
122.82,2856.65,2018080819
235.15,1814.89,2018080820
101.71,1978.63,2018080821
274.9,2112,2018080822
247.08,1638.27,2018080823
45.96,213.25,2018080900
15.38,419.12,2018080901
6.39,256.04,2018080902
2.63,128.54,2018080903
8.25,311.2,2018080904
50.34,774.2,2018080911
91.94,1188.36,2018080912
23.09,450.52,2018080913
69.98,584,2018080914
92.75,388.77,2018080915
66.53,565.1,2018080916
107.05,967.81,2018080917
18.61,272.81,2018080918
71.79,517.22,2018080919
185.06,767.15,2018080920
67.3,719.21,2018081212
63.54,1486.04,2018081311
93.86,1164.07,2018081320
67.3,719.21,2018081212
63.54,1486.04,2018081311
68.04,848.07,2018080811
56.06,882.5,2018080812
26.03,553.78,2018080813
48.75,329.29,2018080814
44.05,728.51,2018080815
44.05,728.51,2018080815